,day,rung,nuclear_flags,actor_threat_perceptions
0,0.0,9,[],"{'USA': 0.1, 'Israel': 0.55, 'Iran': 0.75, 'Hezbollah': 0.6}"
1,0.0,9,[],"{'USA': 0.1, 'Israel': 0.55, 'Iran': 0.75, 'Hezbollah': 0.6}"
2,1.0,9,[],"{'USA': 0.1, 'Israel': 0.55, 'Iran': 0.75, 'Hezbollah': 0.6}"
3,2.0,10,[],"{'USA': 0.15902489406547024, 'Israel': 0.6004455880796141, 'Iran': 0.8014425722110782, 'Hezbollah': 0.6251245453070218}"
4,3.0,10,[],"{'USA': 0.15902489406547024, 'Israel': 0.6004455880796141, 'Iran': 0.8014425722110782, 'Hezbollah': 0.6251245453070218}"
5,4.0,10,[],"{'USA': 0.15902489406547024, 'Israel': 0.6004455880796141, 'Iran': 0.8014425722110782, 'Hezbollah': 0.6251245453070218}"
6,5.0,10,[],"{'USA': 0.15902489406547024, 'Israel': 0.6004455880796141, 'Iran': 0.8014425722110782, 'Hezbollah': 0.6251245453070218}"
7,6.0,11,[],"{'USA': 0.20120828554610362, 'Israel': 0.6229982783237812, 'Iran': 0.8545478190907815, 'Hezbollah': 0.6703911212719044}"
8,7.0,11,[],"{'USA': 0.20120828554610362, 'Israel': 0.6229982783237812, 'Iran': 0.8545478190907815, 'Hezbollah': 0.6703911212719044}"
9,8.0,11,[],"{'USA': 0.20120828554610362, 'Israel': 0.6229982783237812, 'Iran': 0.8545478190907815, 'Hezbollah': 0.6703911212719044}"
10,9.0,11,[],"{'USA': 0.20120828554610362, 'Israel': 0.6229982783237812, 'Iran': 0.8545478190907815, 'Hezbollah': 0.6703911212719044}"
11,10.0,10,[],"{'USA': 0.20120828554610362, 'Israel': 0.6229982783237812, 'Iran': 0.8545478190907815, 'Hezbollah': 0.6703911212719044}"
12,11.0,11,[],"{'USA': 0.2485302436758018, 'Israel': 0.6727887645600938, 'Iran': 0.9132482083881499, 'Hezbollah': 0.7034241355974304}"
13,12.0,11,[],"{'USA': 0.2485302436758018, 'Israel': 0.6727887645600938, 'Iran': 0.9132482083881499, 'Hezbollah': 0.7034241355974304}"
14,13.0,12,[],"{'USA': 0.27372710388922067, 'Israel': 0.7118169616091312, 'Iran': 0.9423245823501852, 'Hezbollah': 0.7502166953847309}"
15,14.0,12,[],"{'USA': 0.27372710388922067, 'Israel': 0.7118169616091312, 'Iran': 0.9423245823501852, 'Hezbollah': 0.7502166953847309}"
16,15.0,12,[],"{'USA': 0.27372710388922067, 'Israel': 0.7118169616091312, 'Iran': 0.9423245823501852, 'Hezbollah': 0.7502166953847309}"
17,16.0,12,[],"{'USA': 0.27372710388922067, 'Israel': 0.7118169616091312, 'Iran': 0.9423245823501852, 'Hezbollah': 0.7502166953847309}"
18,17.0,12,[],"{'USA': 0.27372710388922067, 'Israel': 0.7118169616091312, 'Iran': 0.9423245823501852, 'Hezbollah': 0.7502166953847309}"
19,18.0,12,[],"{'USA': 0.27372710388922067, 'Israel': 0.7118169616091312, 'Iran': 0.9423245823501852, 'Hezbollah': 0.7502166953847309}"
20,19.0,11,[],"{'USA': 0.27372710388922067, 'Israel': 0.7118169616091312, 'Iran': 0.9423245823501852, 'Hezbollah': 0.7502166953847309}"
21,20.0,11,[],"{'USA': 0.27372710388922067, 'Israel': 0.7118169616091312, 'Iran': 0.9423245823501852, 'Hezbollah': 0.7502166953847309}"
22,21.0,11,[],"{'USA': 0.27372710388922067, 'Israel': 0.7118169616091312, 'Iran': 0.9423245823501852, 'Hezbollah': 0.7502166953847309}"
23,22.0,11,[],"{'USA': 0.27372710388922067, 'Israel': 0.7118169616091312, 'Iran': 0.9423245823501852, 'Hezbollah': 0.7502166953847309}"
24,23.0,12,[],"{'USA': 0.2983083068306596, 'Israel': 0.7585530800807501, 'Iran': 0.9811684305959105, 'Hezbollah': 0.7928261396439784}"
25,24.0,12,[],"{'USA': 0.2983083068306596, 'Israel': 0.7585530800807501, 'Iran': 0.9811684305959105, 'Hezbollah': 0.7928261396439784}"
26,25.0,12,[],"{'USA': 0.2983083068306596, 'Israel': 0.7585530800807501, 'Iran': 0.9811684305959105, 'Hezbollah': 0.7928261396439784}"
27,26.0,11,[],"{'USA': 0.2983083068306596, 'Israel': 0.7585530800807501, 'Iran': 0.9811684305959105, 'Hezbollah': 0.7928261396439784}"
28,27.0,11,[],"{'USA': 0.2983083068306596, 'Israel': 0.7585530800807501, 'Iran': 0.9811684305959105, 'Hezbollah': 0.7928261396439784}"
29,28.0,11,[],"{'USA': 0.2983083068306596, 'Israel': 0.7585530800807501, 'Iran': 0.9811684305959105, 'Hezbollah': 0.7928261396439784}"
30,29.0,10,[],"{'USA': 0.2983083068306596, 'Israel': 0.7585530800807501, 'Iran': 0.9811684305959105, 'Hezbollah': 0.7928261396439784}"
31,30.0,10,[],"{'USA': 0.2983083068306596, 'Israel': 0.7585530800807501, 'Iran': 0.9811684305959105, 'Hezbollah': 0.7928261396439784}"
32,31.0,10,[],"{'USA': 0.2983083068306596, 'Israel': 0.7585530800807501, 'Iran': 0.9811684305959105, 'Hezbollah': 0.7928261396439784}"
33,32.0,10,[],"{'USA': 0.2983083068306596, 'Israel': 0.7585530800807501, 'Iran': 0.9811684305959105, 'Hezbollah': 0.7928261396439784}"
34,33.0,10,[],"{'USA': 0.2983083068306596, 'Israel': 0.7585530800807501, 'Iran': 0.9811684305959105, 'Hezbollah': 0.7928261396439784}"
35,34.0,11,[],"{'USA': 0.31921678975601403, 'Israel': 0.7821549945117757, 'Iran': 1.0, 'Hezbollah': 0.8313012288540339}"
36,35.0,12,[],"{'USA': 0.35925858076014855, 'Israel': 0.8082474786203024, 'Iran': 1.0, 'Hezbollah': 0.8691474798769951}"
37,36.0,12,[],"{'USA': 0.35925858076014855, 'Israel': 0.8082474786203024, 'Iran': 1.0, 'Hezbollah': 0.8691474798769951}"
38,37.0,12,[],"{'USA': 0.35925858076014855, 'Israel': 0.8082474786203024, 'Iran': 1.0, 'Hezbollah': 0.8691474798769951}"
39,38.0,11,[],"{'USA': 0.35925858076014855, 'Israel': 0.8082474786203024, 'Iran': 1.0, 'Hezbollah': 0.8691474798769951}"
40,39.0,11,[],"{'USA': 0.35925858076014855, 'Israel': 0.8082474786203024, 'Iran': 1.0, 'Hezbollah': 0.8691474798769951}"
41,40.0,11,[],"{'USA': 0.35925858076014855, 'Israel': 0.8082474786203024, 'Iran': 1.0, 'Hezbollah': 0.8691474798769951}"
42,41.0,11,[],"{'USA': 0.35925858076014855, 'Israel': 0.8082474786203024, 'Iran': 1.0, 'Hezbollah': 0.8691474798769951}"
43,42.0,11,[],"{'USA': 0.35925858076014855, 'Israel': 0.8082474786203024, 'Iran': 1.0, 'Hezbollah': 0.8691474798769951}"
