,day,US_Israel_Counter_Proxy,Iran_Proxy_Network
0,0.0,250000.0,330000.0
1,0.5,250129.2097480741,329837.49500147055
2,1.0,250258.41899979542,329674.9801546712
3,1.5,250387.6277664016,329512.4556825716
4,2.0,250516.8360591162,329349.92180786136
5,2.5,250646.04388914912,329187.37875295896
6,3.0,250775.2512676961,329024.82674000197
7,3.5,250904.45820593863,328862.2659908461
8,4.0,251033.6647150441,328699.6967270656
9,4.5,251162.87080616562,328537.1191699531
10,5.0,251292.07649044218,328374.53354051954
11,5.5,251421.2817789985,328211.94005949434
12,6.0,251550.4866829452,328049.33894732536
13,6.5,251679.6912133786,327886.73042417876
14,7.0,251808.89538138092,327724.1147099392
15,7.5,251938.09919802018,327561.49202420976
16,8.0,252067.3026743501,327398.8625863117
17,8.5,252196.50582141036,327236.2266152849
18,9.0,252325.70865022633,327073.58432988764
19,9.5,252454.91117180925,326910.9359485965
20,10.0,252584.11339715615,326748.2816896065
21,10.5,252713.3153372499,326585.62177083106
22,11.0,252842.51700305907,326422.956409902
23,11.5,252971.71840553446,326260.28582409647
24,12.0,253100.9195556107,326097.61023037106
25,12.5,253230.1204642152,325934.92984553956
26,13.0,253359.32114226103,325772.24488613184
27,13.5,253488.5216006469,325609.55556839093
28,14.0,253617.721850257,325446.86210827343
29,14.5,253746.92190196103,325284.1647214492
30,15.0,253876.12176661438,325121.4636233014
31,15.5,254005.32145505789,324958.75902892655
32,16.0,254134.52097811797,324796.0511531346
33,16.5,254263.7203466066,324633.3402104487
34,17.0,254392.9195713213,324470.6264151055
35,17.5,254522.11866304514,324307.9099810548
36,18.0,254651.31763254676,324145.19112195994
37,18.5,254780.51649058034,323982.4700511975
38,19.0,254909.71524788562,323819.7469818575
39,19.5,255038.91391518785,323657.02212674316
40,20.0,255168.1125031979,323494.2956983712
41,20.5,255297.31102261215,323331.5679089715
42,21.0,255426.50948411255,323168.8389704874
43,21.5,255555.7078983666,323006.1090945757
44,22.0,255684.90627602735,322843.3784926063
45,22.5,255814.10462773338,322680.6473756626
46,23.0,255943.30296410888,322517.91595454124
47,23.5,256072.5012957635,322355.18443975237
48,24.0,256201.69963329256,322192.4530415194
49,24.5,256330.89798727687,322029.721969779
50,25.0,256460.09636828274,321866.9914341813
51,25.5,256589.29478686213,321704.26164408965
52,26.0,256718.49325355247,321541.53280858096
53,26.5,256847.69177887685,321378.80513644527
54,27.0,256976.89037334378,321216.07883618603
55,27.5,257106.0890474474,321053.35411602014
56,28.0,257235.28781166743,320890.63118387765
57,28.5,257364.48667646907,320727.91024740215
58,29.0,257493.6856523031,320565.19151395035
59,29.5,257622.88474960587,320402.47519059264
60,30.0,257752.08397879926,320239.76148411236
61,30.5,257881.28335029073,320077.05060100654
62,31.0,258010.48287447327,319914.34274748527
63,31.5,258139.6825617254,319751.6381294722
64,32.0,258268.88242241126,319588.9369526043
65,32.5,258398.08246688047,319426.2394222317
66,33.0,258527.28270546827,319263.54574341804
67,33.5,258656.48314849538,319100.8561209403
68,34.0,258785.68380626815,318938.1707592887
69,34.5,258914.8846890784,318775.48986266705
70,35.0,259044.0858072036,318612.8136349921
71,35.5,259173.28717090667,318450.1422798944
72,36.0,259302.48879043615,318287.47600071743
73,36.5,259431.6906760261,318124.8150005183
74,37.0,259560.8928378962,317962.15948206733
75,37.5,259690.09528625116,317799.5096478408
76,38.0,259819.2980312781,317636.8656999626
77,38.5,259948.5010831515,317474.22784030787
78,39.0,260077.704452032,317311.5962704763
79,39.5,260206.90814806556,317148.9711917773
80,40.0,260336.11218138356,316986.3528052301
81,40.5,260465.3165621028,316823.7413115636
82,41.0,260594.5213003253,316661.13691121637
83,41.5,260723.72640613856,316498.5398043368
84,42.0,260852.93188961543,316335.9501907829
85,42.5,260982.13776081416,316173.3682701225
86,43.0,261111.3440297783,316010.7942416332
87,43.5,261240.5507065368,315848.22830430215
88,44.0,261369.75780110402,315685.67065682635
89,44.5,261498.96532347964,315523.12149761245
90,45.0,261628.17328364874,315360.58102477697
91,45.5,261757.38169158174,315198.049436146
92,46.0,261886.59055723445,315035.52692925546
93,46.5,262015.79989054808,314873.0137013509
94,47.0,262145.00970144913,314710.50994938763
95,47.5,262274.2199998495,314548.01587003074
96,48.0,262403.4307956466,314385.53165965504
97,48.5,262532.64209872286,314223.0575143427
98,49.0,262661.85391894594,314060.59362988017
99,49.5,262791.0662661693,313898.1402017725
100,50.0,262920.2791502318,313735.6974252342
101,50.5,263049.4925809574,313573.2654951876
102,51.0,263178.70656815567,313410.8446062636
103,51.5,263307.92112162116,313248.434952801
104,52.0,263437.13625113387,313086.0367288469
105,52.5,263566.3519664591,312923.6501281566
106,53.0,263695.56827734737,312761.2753441935
107,53.5,263824.7851935345,312598.91257012927
108,54.0,263954.0027247417,312436.56199884374
